timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470242920883165,-21,-9,20,-4,-5,0,4,4
1470242920883165,12,6,-12,0,0,-3,-2,-3
1470242920884167,2,-3,5,2,1,0,-3,-2
1470242920884167,-9,-3,-4,-5,-4,0,1,0
1470242920885165,1,5,-4,-4,-3,-1,0,-2
1470242920885165,3,-5,-5,1,1,0,-3,-2
1470242920885667,-1,0,20,2,1,0,0,0
1470242920885667,-13,-2,-10,-1,-5,-2,-1,-1
1470242920896676,17,-1,-15,2,4,-2,-3,-3
1470242920896676,-7,2,5,-2,-1,-1,0,-1
1470242920905686,-11,-5,-6,-12,-5,0,0,4
1470242920905686,9,-3,-10,1,0,-3,-3,-4
1470242920911690,3,-4,2,2,2,0,-2,-1
1470242920911690,-8,3,0,-9,-1,1,1,3
1470242920927205,-3,0,16,6,-3,-4,-2,-5
1470242920927205,5,9,2,1,0,-3,-2,-1
1470242920935212,-3,-2,-4,-3,-1,-2,0,-1
1470242920935212,-7,-6,8,-2,-4,0,-1,-1
1470242920950226,8,2,-19,-2,1,-2,-2,-1
1470242920950226,0,-7,3,-3,0,0,-2,3
1470242920958232,-8,-6,-4,-3,-2,1,-1,1
1470242920958232,4,2,4,3,-2,0,-1,-1
1470242920971244,-3,1,-7,2,-2,0,-1,-2
1470242920971244,-3,-3,4,-2,-1,-1,-2,1
1470242921012281,-1,-6,-6,-2,1,0,-1,-2
1470242921012281,-21,1,22,-8,-5,0,2,3
1470242921012781,14,-6,-35,-2,0,-4,-2,-8
1470242921012781,-1,4,9,3,1,-1,-2,1
1470242921013782,-7,-2,-1,-2,-2,2,0,3
1470242921013782,8,0,2,1,-1,0,-2,-3
1470242921016285,0,1,1,0,-1,1,-2,0
1470242921016285,-5,-4,-4,-3,-2,0,-1,-2
1470242921024792,-8,-1,3,-2,-5,-1,-1,0
1470242921024792,15,2,-17,0,4,-3,-3,-3
1470242921032799,-6,-8,6,-1,-1,-2,1,0
1470242921032799,-11,3,14,-2,-5,1,0,1
1470242921038804,11,-6,-10,5,1,-2,-2,-3
1470242921038804,-3,0,5,2,-1,0,-1,-1
1470242921061825,-8,-2,-6,-7,-3,-2,0,0
1470242921061825,3,2,12,6,-1,-3,-3,-3
1470242921062826,-4,-1,9,4,1,-1,-3,0
1470242921062826,-1,0,-14,-4,0,-1,-2,0
1470242921085346,-5,2,6,0,-2,-1,-1,1
1470242921085346,6,-4,-12,0,3,0,0,0
1470242921085847,-1,1,13,0,-4,-2,-1,-3
1470242921085847,-8,-4,-5,-1,-3,1,1,-1
1470242921099359,4,9,-2,1,0,1,-1,-1
1470242921099359,0,-1,1,-1,-1,0,-2,-2
1470242921100360,-7,4,-7,-4,-1,-1,1,0
1470242921100360,1,-6,6,1,0,-2,-2,-3
1470242921122379,0,8,3,-1,-1,1,1,1
1470242921122379,-3,-4,-7,-3,0,-2,-1,-1
1470242921122879,1,0,-3,-2,-1,-1,0,-1
1470242921122879,1,-3,-7,-2,-2,-2,-1,-1
1470242921145400,0,-1,14,5,0,0,-2,-2
1470242921145400,-6,-6,-21,-6,0,-2,0,0
1470242921145900,3,-4,11,-1,0,-2,0,-1
1470242921145900,1,2,-9,-4,-2,-2,-1,0
1470242921159413,-6,-8,7,0,-3,0,1,1
1470242921159413,4,4,-2,-1,-1,2,0,-1
1470242921160413,-2,3,-8,-5,0,-1,0,0
1470242921160413,-1,-11,4,3,-1,0,0,-1
1470242921181933,-3,-4,13,6,-2,-4,-2,-1
1470242921181933,-3,0,-22,-1,-2,-2,0,-2
1470242921182934,0,-6,-3,-3,-1,-1,-2,0
1470242921182934,-1,2,10,-2,-3,-1,-1,0
1470242921204954,3,-2,-9,-2,0,0,0,-1
1470242921204954,-1,-5,8,-3,-1,0,-1,-1
1470242921205955,-2,-2,2,1,0,0,-1,0
1470242921205955,0,-1,-2,3,-2,0,-2,-1
1470242921219467,-5,-6,-12,-6,-2,-2,-2,-4
1470242921219467,0,-1,5,-1,-4,-2,-1,-1
1470242921220467,3,1,-9,-6,-3,-1,-1,-2
1470242921220467,0,6,0,-1,2,0,-1,1
1470242921241987,-4,3,17,6,-2,2,-1,2
1470242921241987,-3,-3,-9,-9,-1,-1,-3,-3
1470242921242487,-1,1,-6,-1,-1,-2,-2,-2
1470242921242487,0,-2,-4,-1,-1,-2,-1,-1
1470242921265007,-2,-4,-7,-6,-1,-1,1,0
1470242921265007,2,2,5,1,3,0,-2,0
1470242921266008,-4,-2,3,2,-3,0,0,-1
1470242921266008,-3,-3,-6,-1,-2,0,-1,-1
1470242921279524,5,0,-6,-1,-1,-2,-2,-2
1470242921279524,-5,-6,2,0,-3,-1,-1,-2
1470242921280021,-1,1,6,0,0,-3,-1,-1
1470242921280021,-4,-4,-22,-3,-3,-3,-2,1
1470242921302041,-2,-1,12,2,2,-2,0,1
1470242921302041,-4,-3,-7,5,-1,-2,-3,-2
1470242921302542,-5,-4,-2,0,-4,-2,-2,-1
1470242921302542,2,4,-2,1,0,-1,1,0
1470242921325062,-1,4,-1,-4,-2,0,-1,0
1470242921325062,-2,-12,5,4,-1,-2,2,-1
1470242921326063,2,7,0,1,0,-1,-2,-1
1470242921326063,-2,-2,5,1,0,2,-2,-2
1470242921339576,-3,-8,-31,-10,0,-1,-1,-5
1470242921339576,2,4,7,-3,-1,-2,0,0
1470242921340077,-1,-14,7,3,-2,0,-2,-2
1470242921340077,1,13,3,0,-1,-2,-1,0
1470242921362094,-3,-3,-1,-2,-1,-1,-2,0
1470242921362094,1,1,-1,-2,-1,-2,-3,0
1470242921362596,-3,-3,-4,-7,-2,0,0,-1
1470242921362596,1,-5,2,0,0,0,-1,-2
1470242921385117,-2,4,-2,1,0,1,-2,-1
1470242921385117,-3,-2,2,1,-1,-1,0,-1
1470242921385616,-2,0,-5,-4,-1,-2,-1,0
1470242921385616,-1,1,10,2,-2,0,-2,-1
1470242921398628,-1,-8,-18,-6,-3,-3,-1,-1
1470242921398628,0,-2,1,-4,0,1,-1,1
1470242921407135,-3,8,2,2,-1,-3,-1,-2
1470242921407135,-3,-1,-1,4,-1,0,1,-1
1470242921422148,0,-5,0,-1,-1,-1,-2,-1
1470242921422148,-2,-1,-7,-9,0,0,0,-1
1470242921422649,3,-3,21,0,-1,0,-3,-1
1470242921422649,-5,-4,-8,2,0,-1,-1,-1
1470242921445170,-4,0,26,5,1,0,-2,-3
1470242921445170,0,-3,-34,-8,-1,-3,-2,-2
1470242921446170,-1,2,-5,-1,1,-1,0,-1
1470242921446170,-1,-2,7,-4,-4,-2,0,-2
1470242921459183,0,2,4,1,0,0,1,-1
1470242921459183,1,-3,7,-1,-1,0,-2,-1
1470242921467189,-2,-5,-9,-3,-1,-2,2,0
1470242921467189,-1,0,-10,-4,0,-1,-1,-3
1470242921481702,7,8,1,-1,-2,-2,0,0
1470242921481702,-4,4,16,9,-2,-1,-1,-2
1470242921482703,0,-3,-15,-3,0,1,1,1
1470242921482703,-1,-8,-9,0,-1,0,-2,-2
1470242921505224,-3,3,6,-1,-1,-2,-3,0
1470242921505224,0,5,17,4,-2,0,-1,-2
1470242921505724,-1,-9,-49,-14,-2,-2,-1,-2
1470242921505724,-3,4,20,9,-2,-1,-2,0
1470242921518735,-1,-5,-8,-5,-1,0,-1,-1
1470242921518735,-4,-3,-8,-2,-1,-1,-1,-1
1470242921527242,-1,1,0,4,1,-1,-1,-1
1470242921527242,-2,-4,-5,-6,-1,1,0,1
1470242921542257,-1,-3,-9,-3,-1,-4,-4,-2
1470242921542257,2,7,12,0,0,-1,0,0
1470242921542757,0,-8,7,2,0,0,0,1
1470242921542757,-1,3,-5,-5,-2,-2,0,-1
1470242921565277,-5,-1,10,5,-1,0,0,-1
1470242921565277,5,-4,-5,-6,-1,0,0,0
1470242921565778,-2,4,22,10,0,-1,-2,0
1470242921565778,-1,-5,-1,-7,-4,-2,-2,2
1470242921578789,1,-3,-5,-2,0,-1,-1,-3
1470242921578789,-4,0,2,-4,-2,0,-1,-2
1470242921587296,-1,1,-9,-2,-1,-1,-2,1
1470242921587296,3,-4,5,0,0,-2,-1,-2
1470242921601812,0,-2,6,2,-2,-2,0,1
1470242921601812,-3,-4,2,-3,-3,-2,-1,-3
1470242921602813,-3,7,8,2,-2,-1,1,0
1470242921602813,1,3,-27,-10,1,0,-1,0
1470242921625330,-8,-18,14,-1,-3,-1,-1,1
1470242921625330,-3,0,-1,-1,-1,-2,-1,-3
1470242921625831,0,-2,3,0,-1,0,0,0
1470242921625831,0,0,2,1,0,-1,0,-2
1470242921638845,0,4,5,-3,-1,0,0,-1
1470242921638845,0,-3,-18,1,0,-2,-3,1
1470242921646854,-2,2,-1,-5,-3,0,-1,-1
1470242921646854,-5,-8,-4,-2,-1,-2,-1,-2
1470242921670371,0,3,-5,-6,-1,0,0,1
1470242921670371,-2,-2,17,5,-1,-1,-1,-2
1470242921670872,1,-1,-25,-8,-2,-1,-1,-1
1470242921670872,-6,-3,7,-2,-1,-1,-3,-2
1470242921685385,2,2,-11,1,1,-2,-1,-1
1470242921685385,-3,-4,-13,-1,0,-1,0,1
1470242921685886,1,-2,0,-5,-2,1,-1,-2
1470242921685886,0,-2,12,3,-1,-2,-1,-1
1470242921698897,-3,7,-7,-1,-1,1,1,-2
1470242921698897,-2,-3,-14,-5,1,-1,-2,0
1470242921707405,0,-1,5,2,1,0,1,0
1470242921707405,1,3,0,2,-1,1,-2,0
1470242921721918,0,2,-4,-6,-2,-1,0,-2
1470242921721918,0,2,2,-1,-1,-1,-1,0
1470242921722918,1,-1,7,-2,1,-1,-2,-2
1470242921722918,-2,2,3,0,-2,-2,0,1
1470242921744939,-4,-20,-1,1,-4,-1,0,-1
